# Data from FTS intensity atlas
# Wavelength (nm)  Normalised disk-centre intensity 
 616.18538  0.91210
 616.18607  0.90850
 616.18676  0.90480
 616.18745  0.90060
 616.18814  0.89600
 616.18883  0.89140
 616.18952  0.88720
 616.19021  0.88270
 616.19090  0.87710
 616.19159  0.87120
 616.19228  0.86550
 616.19297  0.85900
 616.19366  0.85190
 616.19435  0.84450
 616.19504  0.83650
 616.19572  0.82730
 616.19641  0.81770
 616.19710  0.80780
 616.19779  0.79700
 616.19848  0.78530
 616.19917  0.77280
 616.19986  0.75920
 616.20055  0.74470
 616.20124  0.72980
 616.20193  0.71400
 616.20262  0.69670
 616.20331  0.67850
 616.20400  0.65990
 616.20469  0.64020
 616.20538  0.61930
 616.20607  0.59800
 616.20676  0.57600
 616.20745  0.55240
 616.20813  0.52690
 616.20882  0.49980
 616.20951  0.47000
 616.21020  0.43670
 616.21089  0.40050
 616.21158  0.36210
 616.21227  0.32210
 616.21296  0.28290
 616.21365  0.24710
 616.21434  0.21610
 616.21503  0.19070
 616.21572  0.17130
 616.21641  0.15720
 616.21710  0.14760
 616.21779  0.14250
 616.21848  0.14200
 616.21917  0.14520
 616.21986  0.15240
 616.22055  0.16470
 616.22123  0.18270
 616.22192  0.20720
 616.22261  0.23890
 616.22330  0.27780
 616.22399  0.32230
 616.22468  0.36920
 616.22537  0.41500
 616.22606  0.45720
 616.22675  0.49520
 616.22744  0.52910
 616.22813  0.55880
 616.22882  0.58500
 616.22951  0.60830
 616.23020  0.62960
 616.23089  0.64930
 616.23158  0.66740
 616.23227  0.68420
 616.23296  0.69990
 616.23365  0.71470
 616.23434  0.72870
 616.23502  0.74210
 616.23571  0.75490
 616.23640  0.76730
 616.23709  0.77910
 616.23778  0.79030
 616.23847  0.80080
 616.23916  0.81060
 616.23985  0.81980
 616.24054  0.82870
 616.24123  0.83760
 616.24192  0.84580
 616.24261  0.85280
 616.24330  0.85900
 616.24399  0.86550
 616.24468  0.87190
 616.24537  0.87770
 616.24606  0.88310
 616.24675  0.88830
 616.24744  0.89310
 616.24813  0.89750
 616.24882  0.90180
 616.24951  0.90580
 616.25019  0.90970
 616.25088  0.91360
 616.25157  0.91670
 616.25226  0.91910
 616.25295  0.92210
 616.25364  0.92560
 616.25433  0.92850
 616.25502  0.93060
 616.25571  0.93300
 616.25640  0.93540
 616.25709  0.93740
 616.25778  0.93940
 616.25847  0.94170
 616.25916  0.94360
 616.25985  0.94500
 616.26054  0.94660
 616.26123  0.94830
 616.26192  0.94970
 616.26261  0.95090
 616.26330  0.95240
 616.26399  0.95400
 616.26468  0.95520
 616.26537  0.95600
 616.26605  0.95680
 616.26674  0.95770
 616.26743  0.95850
 616.26812  0.95910
 616.26881  0.96000
 616.26950  0.96120
 616.27019  0.96220
 616.27088  0.96290
 616.27157  0.96350
 616.27226  0.96430
 616.27295  0.96540
 616.27364  0.96650
 616.27433  0.96720
 616.27502  0.96780
 616.27571  0.96840
 616.27640  0.96930
 616.27709  0.97010
 616.27778  0.97090
 616.27847  0.97150
 616.27916  0.97210
 616.27985  0.97250
 616.28054  0.97310
 616.28123  0.97400
 616.28192  0.97510
 616.28261  0.97570
 616.28330  0.97620
 616.28398  0.97710
 616.28467  0.97780
 616.28536  0.97820
 616.28605  0.97860
 616.28674  0.97900
 616.28743  0.97950
 616.28812  0.98010
 616.28881  0.98040
 616.28950  0.98060
 616.29019  0.98140
 616.29088  0.98220
 616.29157  0.98220
 616.29226  0.98210
 616.29295  0.98280
 616.29364  0.98360
 616.29433  0.98380
 616.29502  0.98380
 616.29571  0.98390
 616.29640  0.98390
 616.29709  0.98400
 616.29778  0.98450
 616.29847  0.98500
 616.29916  0.98500
 616.29985  0.98510
