# Mg I-XI ionisation fractions under collisional ionisation equilibrium. Extracted from CHIANTI database.
#   Temp        MgI          MgII         MgIII        MgIV         MgV          MgVI         MgVII        MgVIII       MgIX         MgX          MgXI
  1.99526e+05  9.03200e-10  6.75000e-06  7.18300e-02  6.21200e-01  3.03100e-01  3.88200e-03  2.66600e-06  6.50400e-11  7.16000e-17  0.00000e+00  0.00000e+00
  2.23872e+05  3.55800e-10  3.22700e-06  3.37200e-02  4.77700e-01  4.72400e-01  1.61600e-02  3.83600e-05  4.17700e-09  2.68300e-14  0.00000e+00  0.00000e+00
  2.51189e+05  1.26100e-10  1.38100e-06  1.44300e-02  3.23500e-01  6.10500e-01  5.11700e-02  3.72100e-04  1.56300e-07  4.92400e-12  4.95900e-18  0.00000e+00
  2.81838e+05  4.06200e-11  5.34700e-07  5.69500e-03  1.96000e-01  6.68900e-01  1.26900e-01  2.54000e-03  3.61500e-06  4.78200e-10  2.87500e-15  0.00000e+00
  3.16228e+05  1.19000e-11  1.87500e-07  2.07100e-03  1.06600e-01  6.27700e-01  2.51000e-01  1.25500e-02  5.38800e-05  2.60900e-08  7.86700e-13  1.60100e-17
  3.54813e+05  3.14400e-12  5.90600e-08  6.86900e-04  5.16800e-02  5.03800e-01  3.97800e-01  4.55100e-02  5.31100e-04  8.33100e-07  1.07900e-10  1.09400e-14
  3.98107e+05  7.40900e-13  1.65400e-08  2.05600e-04  2.21600e-02  3.44600e-01  5.06800e-01  1.22700e-01  3.54300e-03  1.61400e-05  7.80700e-09  3.36300e-12
  4.46684e+05  1.55300e-13  4.10300e-09  5.52800e-05  8.38500e-03  2.01500e-01  5.23600e-01  2.49800e-01  1.64200e-02  1.97000e-04  3.13900e-07  4.98100e-10
  5.01187e+05  2.90600e-14  9.06400e-10  1.34100e-05  2.81800e-03  1.01700e-01  4.45600e-01  3.93700e-01  5.46100e-02  1.58000e-03  7.40700e-06  3.81100e-08
  5.62341e+05  4.90000e-15  1.79900e-10  2.95800e-06  8.48900e-04  4.49000e-02  3.18100e-01  4.92600e-01  1.34700e-01  8.69200e-03  1.08200e-04  1.61300e-06
  6.30957e+05  7.49700e-16  3.23200e-11  5.96200e-07  2.30900e-04  1.75000e-02  1.93300e-01  4.99900e-01  2.53900e-01  3.40300e-02  1.02600e-03  4.00200e-05
  7.07946e+05  1.03900e-16  5.24800e-12  1.09500e-07  5.65800e-05  6.02900e-03  1.00600e-01  4.16500e-01  3.72400e-01  9.73100e-02  6.54600e-03  6.10300e-04
  7.94328e+05  1.29000e-17  7.61100e-13  1.81100e-08  1.23600e-05  1.81900e-03  4.45800e-02  2.85000e-01  4.28000e-01  2.06000e-01  2.87100e-02  5.90400e-03
  8.91251e+05  1.39400e-18  9.59000e-14  2.61900e-09  2.34000e-06  4.68600e-04  1.64500e-02  1.57400e-01  3.81000e-01  3.21200e-01  8.68200e-02  3.66600e-02
  1.00000e+06  1.24300e-19  9.94600e-15  3.13500e-10  3.63700e-07  9.77500e-05  4.81500e-03  6.70700e-02  2.52400e-01  3.56200e-01  1.76200e-01  1.43200e-01
  1.12202e+06  0.00000e+00  8.14200e-16  2.97400e-11  4.44500e-08  1.58400e-05  1.07400e-03  2.12700e-02  1.20600e-01  2.73800e-01  2.35400e-01  3.47800e-01
  1.25893e+06  0.00000e+00  5.57100e-17  2.36300e-12  4.51500e-09  2.11000e-06  1.93600e-04  5.34300e-03  4.43800e-02  1.56600e-01  2.23600e-01  5.70000e-01
  1.41254e+06  0.00000e+00  3.62400e-18  1.78500e-13  4.33400e-10  2.62900e-07  3.21600e-05  1.21400e-03  1.44300e-02  7.66400e-02  1.74700e-01  7.33000e-01
  1.58489e+06  0.00000e+00  2.47900e-19  1.41700e-14  4.34400e-11  3.39000e-08  5.45300e-06  2.77200e-04  4.61200e-03  3.59000e-02  1.26100e-01  8.33000e-01
  1.77828e+06  0.00000e+00  1.87100e-20  1.24100e-15  4.77600e-12  4.75200e-09  9.93100e-07  6.70300e-05  1.53300e-03  1.70600e-02  8.95700e-02  8.91700e-01
  1.99526e+06  0.00000e+00  0.00000e+00  1.22200e-16  5.86900e-13  7.38900e-10  1.98500e-07  1.75500e-05  5.42700e-04  8.45400e-03  6.44900e-02  9.26300e-01
  2.23872e+06  0.00000e+00  0.00000e+00  1.36100e-17  8.11300e-14  1.28300e-10  4.38600e-08  5.02600e-06  2.06900e-04  4.42500e-03  4.78200e-02  9.46700e-01
  2.51189e+06  0.00000e+00  0.00000e+00  1.71300e-18  1.26200e-14  2.49000e-11  1.07400e-08  1.57800e-06  8.53500e-05  2.46200e-03  3.68300e-02  9.58100e-01
  2.81838e+06  0.00000e+00  0.00000e+00  2.42900e-19  2.19900e-15  5.37800e-12  2.90300e-09  5.41700e-07  3.80400e-05  1.45700e-03  2.95200e-02  9.62100e-01
  3.16228e+06  0.00000e+00  0.00000e+00  3.83600e-20  4.25000e-16  1.28100e-12  8.59200e-10  2.01900e-07  1.82000e-05  9.12600e-04  2.45400e-02  9.57700e-01
  3.54813e+06  0.00000e+00  0.00000e+00  0.00000e+00  8.97300e-17  3.31300e-13  2.74500e-10  8.05900e-08  9.24000e-06  5.98300e-04  2.09400e-02  9.41900e-01
  3.98107e+06  0.00000e+00  0.00000e+00  0.00000e+00  2.03000e-17  9.13700e-14  9.29100e-11  3.38500e-08  4.89200e-06  4.04100e-04  1.80800e-02  9.09700e-01
  4.46684e+06  0.00000e+00  0.00000e+00  0.00000e+00  4.81600e-18  2.62900e-14  3.26300e-11  1.46600e-08  2.65000e-06  2.76000e-04  1.55300e-02  8.55900e-01
  5.01187e+06  0.00000e+00  0.00000e+00  0.00000e+00  1.17100e-18  7.72100e-15  1.16400e-11  6.41000e-09  1.43900e-06  1.87000e-04  1.30200e-02  7.77000e-01
  5.62341e+06  0.00000e+00  0.00000e+00  0.00000e+00  2.85900e-19  2.26600e-15  4.12800e-12  2.77100e-09  7.67300e-07  1.23300e-04  1.04800e-02  6.73300e-01
  6.30957e+06  0.00000e+00  0.00000e+00  0.00000e+00  6.85500e-20  6.50600e-16  1.42700e-12  1.16200e-09  3.94500e-07  7.76800e-05  7.96900e-03  5.50400e-01
  7.07946e+06  0.00000e+00  0.00000e+00  0.00000e+00  1.58700e-20  1.79700e-16  4.72300e-13  4.64200e-10  1.92300e-07  4.60400e-05  5.64100e-03  4.20100e-01
  7.94328e+06  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  4.72100e-17  1.48100e-13  1.75000e-10  8.79500e-08  2.54300e-05  3.69200e-03  2.97700e-01
  8.91251e+06  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.18000e-17  4.40300e-14  6.22900e-11  3.78000e-08  1.31100e-05  2.24000e-03  1.96700e-01
  1.00000e+07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  2.83300e-18  1.25400e-14  2.11600e-11  1.54400e-08  6.39000e-06  1.27800e-03  1.22900e-01
  1.12202e+07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  6.65000e-19  3.47900e-15  6.97700e-12  6.09600e-09  2.99600e-06  6.98500e-04  7.40100e-02
  1.25893e+07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.55000e-19  9.56200e-16  2.27200e-12  2.36800e-09  1.37600e-06  3.72700e-04  4.37700e-02
  1.41254e+07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  3.63500e-20  2.63600e-16  7.39900e-13  9.16600e-10  6.27200e-07  1.97100e-04  2.57900e-02
  1.58489e+07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.35500e-17  2.43200e-13  3.56900e-10  2.86600e-07  1.04300e-04  1.52800e-02
  1.77828e+07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  2.08600e-17  8.10400e-14  1.40500e-10  1.32000e-07  5.55500e-05  9.15700e-03
  1.99526e+07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  6.03100e-18  2.74700e-14  5.61000e-11  6.15300e-08  2.99100e-05  5.56900e-03
  2.23872e+07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.78000e-18  9.48400e-15  2.27500e-11  2.90600e-08  1.63100e-05  3.44300e-03
  2.51189e+07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  5.36200e-19  3.33500e-15  9.38100e-12  1.39200e-08  9.02000e-06  2.16400e-03
  2.81838e+07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.64800e-19  1.19500e-15  3.93100e-12  6.76300e-09  5.05800e-06  1.38300e-03
  3.16228e+07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  5.16900e-20  4.35900e-16  1.67400e-12  3.33400e-09  2.87700e-06  8.98400e-04
  3.54813e+07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.65200e-20  1.61800e-16  7.23800e-13  1.66600e-09  1.65900e-06  5.92600e-04
  3.98107e+07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  6.10400e-17  3.17700e-13  8.44300e-10  9.69000e-07  3.96700e-04
  4.46684e+07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  2.34000e-17  1.41400e-13  4.33300e-10  5.73400e-07  2.69200e-04
  5.01187e+07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  9.11000e-18  6.38200e-14  2.25200e-10  3.43500e-07  1.85100e-04
  5.62341e+07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  3.59800e-18  2.91800e-14  1.18500e-10  2.08200e-07  1.28900e-04
  6.30957e+07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.44100e-18  1.35100e-14  6.30300e-11  1.27600e-07  9.07400e-05
  7.07946e+07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  5.84800e-19  6.32600e-15  3.39000e-11  7.89900e-08  6.45600e-05
  7.94328e+07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  2.40200e-19  2.99500e-15  1.84200e-11  4.93800e-08  4.63900e-05
  8.91251e+07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  9.98400e-20  1.43300e-15  1.01000e-11  3.11500e-08  3.36200e-05
  1.00000e+08  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  4.19400e-20  6.92300e-16  5.59000e-12  1.98200e-08  2.45700e-05
  1.12202e+08  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.78000e-20  3.37500e-16  3.11900e-12  1.27000e-08  1.80900e-05
  1.25893e+08  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.65900e-16  1.75400e-12  8.20000e-09  1.34000e-05
  1.41254e+08  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  8.22300e-17  9.93200e-13  5.32900e-09  9.99600e-06
  1.58489e+08  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  4.10500e-17  5.66200e-13  3.48400e-09  7.49500e-06
